"fsym_id","ShortInterestDateCurrent","ShortInterestDateOneMonthAgo","ShortInterestDateTwoMonthsAgo","ShortInterestDateThreeMonthsAgo","ShortInterestDateFourMonthsAgo","ShortInterestDateFiveMonthsAgo","ShortInterestDateSixMonthsAgo","ShortInterestDateSevenMonthsAgo","ShortInterestDateEightMonthsAgo","ShortInterestDateNineMonthsAgo","ShortInterestDateTenMonthsAgo","ShortInterestDateElevenMonthsAgo","ShortInterestShsCurrent","ShortInterestShsOneMonthAgo","ShortInterestShsTwoMonthsAgo","ShortInterestShsThreeMonthsAgo","ShortInterestShsFourMonthsAgo","ShortInterestShsFiveMonthsAgo","ShortInterestShsSixMonthsAgo","ShortInterestShsSevenMonthsAgo","ShortInterestShsEightMonthsAgo","ShortInterestShsNineMonthsAgo","ShortInterestShsTenMonthsAgo","ShortInterestShsElevenMonthsAgo","ShortInterestRatioCurrent","ShortInterestRatioOneMonthAgo","ShortInterestRatioTwoMonthsAgo","ShortInterestRatioThreeMonthsAgo","ShortInterestRatioFourMonthsAgo","ShortInterestRatioFiveMonthsAgo","ShortInterestRatioSixMonthsAgo","ShortInterestRatioSevenMonthsAgo","ShortInterestRatioEightMonthsAgo","ShortInterestRatioNineMonthsAgo","ShortInterestRatioTenMonthsAgo","ShortInterestRatioElevenMonthsAgo","ShortInterestAsPercentOfFloat"
"KZK7J3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1431,1942,2321,2484,2303,2540,2724,2146,1919,2406,3155,3069,1.64862,5.53276,2.90125,1.99839,4.9,2.96729,2.25684,1.55395,2.24971,3.40311,2.19861,9.18862," "
"WZHBB2-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",89963,102837,112631,134232,141543,153328,152239,156236,164885,179178,146555,143610,3.10463,2.43938,8.53977,6.74668,4.78801,5.20833,3.28229,3.40443,7.30906,4.57238,2.68146,3.08447,.852734303354188
"C70YNK-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",66719,20656,49675,62257,16398,15046,13323,5899,4851,22083,57791,108483,.891012,.253435,.574889,.561618,.143576,.161292,.123326,.0700744,.0544964,.167449,.47719,.969889,.176101859348884
"NXDW32-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11311,7069,15032,73070,61377,69222,125090,242740,496134,522092,484063,221271,.0988136,.0435131,.169728,.780821,.626373,.751768,.992486,1.54668,4.33968,4.54487,2.87199,1.36466,.0483023543757253
"DG3G09-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4078,2038,4210,15618,11758,21156,1716,5646,1706,3352,3228,6508,.181317,.0507293,.0918853,.656577,.180412,.45643,.0383361,.146216,.0459652,.113144,.0531542,.158623,.0148440348037652
"BPRHF0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",10551147,10921028,10517846,10570558,11993789,11187451,22414535,22098988,22041763,22375588,22761692,21149595,3.90752,3.50638,3.50896,3.04162,3.18928,2.64932,6.33149,6.0512,8.31151,6.45567,5.35581,4.54096,1.48259060515615
"PB7K2T-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7102,5020,5439,33982,29743,47236,48767,43285,48413,110003,92863,61727,.404327,.383587,.233393,.907275,1.57981,1.8508,2.15022,3.16573,1.88231,4.74539,5.1385,3.86664," "
"DH7WLK-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5575926,5224487,5226811,5062593,5718493,6037505,6082314,5275476,5393490,7046635,7051779,7820153,1.83328,2.50618,2.04881,2.32895,2.58246,2.92962,2.77528,2.13351,2.22612,3.83935,2.43728,3.52252,1.56493374317703
"TY1SPJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1218152,403049,604426,661884,664053,545538,465945,429822,542123,552182,552054,598860,1.63757,.317277,2.8704,3.26947,1.58964,1.38592,1.73095,1.15153,2.24183,1.6986,.979201,1.19572,3.29666079918028
"NGVBJX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11902,7456,300,200,100,2867,400,3400,300,700,100,4000,1.70051,.99989,.0544415,.0465589,.0200194,.537058,.0907817,.809313,.0734555,.277285,.0517185,2.22408," "
"KL19N1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",201771,148852,142511,139970,128078,127020,129490,127985,120828,114222,116506,107799,.64406,3.33684,5.71521,3.57621,2.26677,2.52756,3.06871,3.36271,2.54029,2.27253,2.95801,2.24466,0
"CYM05X-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100,143,823,0,113,0,700,100,1900,1988,1600,0,.0324118,.0585047,.392252,0,.0562229,0,.498978,.0497909,.513149,.601433,.919134,0," "
"PKLF10-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2214,8700,8246,8338,7900,5700,5000,4000,2316,2500,2300,2000,.400831,3.19471,3.5465,4.49064,3.29563,2.47864,3.73824,1.65673,.563572,.941478,1.7465,1.30756," "
"T43Q80-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",40854,58775,125602,24900,32427,75306,106963,82100,97450,130070,121611,124110,.237578,.358947,.854699,.16625,.205858,.519128,.669942,.506414,.660985,.846161,.7935,.632714,0
"MYVTBR-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",55025,3903,1862,6500,3361,87000,1400,2828,15462,13257,7623,14098,.492315,.032207,.0134201,.0513205,.0228948,.68461,.00819712,.0151205,.119541,.0766851,.0276244,.0342152,0
"V0MJXH-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4887,3428,4762,4585,3863,4853,2505,3012,2453,7931,9568,10011,1.31477,5.11642,4.34886,2.24755,.576912,1.53966,.59828,.891916,.483731,1.00622,15.9467,4.72663," "
"FWGMY0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",800,0,100,1900,1700,8608,800,3088,148613,900,800,800,.00745216,0,.00145762,.0203449,.011881,.0649187,.0142094,.0262778,1.16121,.00914995,.00631578,.00760315,0
"MZZW6N-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",34472,8337,7494,10445,7625,8148,9498,8091,10604,15676,39400,40594,.451517,.0915188,.126599,.159342,.121883,.0979115,.144904,.138367,.174704,.190187,.618224,.590535," "
"Q1KQ17-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7586,3701,6947,12117,1374,3355,1047,57,4139,3596,2134,6421,.320233,.098667,.219578,.266027,.0305157,.1483,.0356997,.0018848,.128445,.218032,.0729473,.336125,.0740044638759004
"B4PGFJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4010498,4409163,5091795,6886667,6648539,7537720,5683998,5584752,5624506,4790176,5753842,5916560,2.71382,2.242,3.23411,3.12283,2.32153,2.92092,1.75887,3.81876,4.16446,2.62852,2.57519,3.69985,1.43246628355583
"BWD4HX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",492,10749,7497,21463,7092,41092,10976,0,5500,195000,141400,0,.00401139,.100065,.115332,.31925,.0858976,.417058,.0937355,0,.0526053,1.08277,.78513,0,0
"WC77JQ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2554466,2769024,3151183,3551082,3952067,3929762,4534356,4682383,4630768,4817304,4695107,5097134,3.74561,2.10298,6.54026,12.1285,9.89377,10.0418,3.15239,14.2532,15.2277,17.5404,12.004,13.4309,8.56413242641612
"LRVGMJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",30800,100,1000,142000,180700,1500,200,0,400,100,0,0,8.61514,.027304,.121358,21.0403,51.0028,.501825,.0441635,0,2.66667,.666667," "," "," "
"X0NY4F-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",400,498,1000,3129,6809,1801,865,1000,5138,13610,4412,0,.00243215,.00331239,.00721094,.0195731,.0198492,.00587562,.00726772,.00704611,.0290933,.0654269,.0235301," ",0
"W14LCF-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2256,400,1537,4250,19900,1472,6408,2941,200,4471,0,343,.0768597,.0110825,.0421391,.13234,.704242,.0515571,.217308,.132803,.00964141,.162552,0,.0104582,0
"LYWF4Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2838,1173,2824,3417,3349,1100,1010,1628,1323,3564,5482,5965,.752985,.202976,.437084,.528702,1.27338,.215729,.194493,.432519,.114784,.936662,1.36334,1.17352," "
"CY1QXC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",253968,286249,273202,247011,235496,286419,332617,238721,346179,352354,430312,385292,5.00587,1.63887,2.81283,2.08723,3.64263,2.29924,2.70062,1.57655,.95779,2.80146,3.25009,3.89834,1.27803205768657
"QHD8YZ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",29068,2403,24093,109034,0,254053,26984,0,0,100,9174,100,8.50156,.981427,8.50989,18.839,0,60.911,8.36731," ",0,.0201811,9.49268,.0666462," "
"JYVBKB-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1211,1275,1305,1255,1350,1150,1286,952,852,1389,1029,1129,1.74798,.593023,.828571,2.008,3.79213,4.84823,3.33407,2.58696,1.30105,1.94538,2.50297,2.83262," "
"DVP5ZQ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5317,11098,0,885,856,100,541,580,0,0,200,3500,2.45442,1.70626,0,.496436,.422591,.0333072,.273245,.848698," ",0,.025854,.141439," "
"PX73WG-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",6500,300,400,0,0,400,300,500,0,200,100,0,5.5082,.206394,.274319," ",0,.532877,.852475,.703942,0,.180169,.0845587,0," "
"W5QLM3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",163,208,208,208,2228,0,6506,0,0,0,0,7099,.119853,.12866,.144444,.279463,2.32707,0,4.33733," "," "," ",0,6.03913," "
"R2KG1H-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",29767,2295,1992,1868,2293,27018,1762,678,9200,20300,24300,100,1.74948,.17733,.150241,.189711,.146737,1.92977,.368659,.145962,.535731,1.01647,2.21072,.00830192," "
"RNQM40-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",72503,27949,44586,31674,114343,245111,38782,13794,198178,214192,144280,81096,5.51669,2.14495,4.45047,2.42441,8.14614,16.6783,2.60986,.832287,12.7821,10.1425,6.29026,5.53181," "
"BDP0KV-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,10000,900,500,0,0,100,0,0,0,5000,0,0,.588182,.031151,.0260211," ",0,.0035169," "," ",0,.262497," ",0
"F34NZG-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4386,1117,8054,3314,3679,79,300,1433,502,3998,1,637,.890558,.194227,1.16742,.485924,.502116,.00921498,.0351453,.082224,.0403213,.474765,.000102627,.104873,.121569931814402
"B13JWF-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1386,1831,500,150,999,1203,113,0,1918,784,554,814,1.37364,1.84391,.448029,.0815661,.322674,.952494,.0619857," ",.730667,.155371,.0894558,.431601,.0604501046755059
"NV3W1T-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",596474,574220,719462,677198,774037,582470,520872,573172,748238,721294,645573,542272,1.8932,1.61322,1.64506,2.08628,2.06043,2.24659,1.87402,2.21068,3.46278,2.52336,1.40336,1.78149,1.07969444455707
"HB4DJ3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,5648,330,253,695100,0,0,0,0,0,0,0,0,.29064,.0064574,.00285246,1.99331," "," "," "," "," "," "," ",0
"V3YBHH-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5172,1987,293,18916,18300,0,0,0,0,0,0,0,.699989,.284487,.0152438,.556698,.102452," "," "," "," "," "," "," ",0
"NMJG5Z-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",8600,8811,8200,8300,9368,9100,8188,8000,20820,17300,9837,17400,12.0269,16.5675,11.146,2.15944,2.75841,7.93605,3.92773,4.22505,25.7219,15.7273,5.71919,11.8477," "
"J1GTG8-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",10200,10000,11970,11900,12926,4811,14614,12800,13800,8730,3500,1913,9.64364,13.6257,14.4688,9.42574,9.65736,5.19597,12.9813,4.95463,5.09319,6.56923,2.38897,.786024," "
"CGKFVK-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100,200,698,320,200,300,200,200,100,100,200,300,.268686,.308008,1.12709,.286341,.174622,.318209,.277609,.35482,.182903,.226831,.511705,.580469,0
"GTMBBZ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",15600,13000,9451,9080,13725,10984,7524,4959,3977,9167,3327,3265,12.2157,9.80191,5.62863,5.1083,8.0758,6.77945,4.59285,2.13629,1.46691,4.07035,2.06181,1.69307," "
"VGXZ44-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5699256,5571443,6472353,6775973,6152581,6096313,6312222,6859791,7205541,7345079,7420016,7503858,7.48132,3.2057,12.9819,11.4927,10.0308,14.6843,14.5111,14.5369,15.8794,31.8908,27.2557,15.7171,25.0571806965407
"Q9HJWY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,10500,21564,1964,38317,2419,1461,203,0,200,1000,2300,0,.341644,1.36548,.0828876,.496098,.0271933,.0214928,.00572161,0,.00616419,.0589195,.156997,0
"DTLRKP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",942,10572,6964,5078,15946,9589,2674,3330,318,3832,1360,1086,.32438,2.9028,1.73363,.335913,3.24172,2.96231,1.10542,.757162,.094334,1.06003,.314669,.261058,.0292151634762075
"W97TJ6-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3300,1800,300,6157,300,85300,11127,300,800,300,1607,3900,.0718862,.0310205,.00484376,.0729162,.00428684,1.82409,.136074,.00408982,.0184456,.00701125,.0334509,.0934307,0
"GC4W13-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,100,500,0,0,287,0,1039,0,0,111.111111111111,555.555555555556,0,.00859402,.0338478," ",0,.0170812,0,.0248834," ",0,.00882534,.0327124,0
"HNP3GK-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",124659,125902,109393,99338,96671,3079,709,2501,1809,1101,2211,317,4.77529,8.33181,4.78325,10.884,6.85464,.0712155,.0442379,.165739,.119635,.0695164,.0898379,.0170238,1.96105637382257
"FZX1RR-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1913340,2029566,2074152,2558149,2619498,2560325,2324795,2122757,2089892,2083965,2347743,2131591,3.56375,5.0269,3.19276,7.79752,5.49227,6.25269,4.66941,3.74265,6.00984,4.4567,3.44345,4.89764,4.14788454722992
"G6RRFC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1000,100,144,14500,100,1362,30843,0,0,105443,1306,1417,.0166031,.00124698,.00172454,.210108,.00133944,.0185899,.503552," ",0,.554979,.0136926,.0210613,0
"NXSCXR-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",14670,4826,4615,17639,14029,31253,26348,11288,16960,21087,10922,3518,.180501,.0326313,.0668637,.150306,.284356,.295567,.253492,.115334,.240295,.26341,.203416,.0376619,.218274175873636
"L1Y752-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2743,2834,5863,5307,4151,3933,5322,1528,2876,1530,1836,3120,1.12051,1.40715,3.84459,1.85106,1.68603,1.37662,1.94731,.540885,1.70581,.647756,.983923,1.37083," "
"WQ5NCR-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",701,1189,1637,2548,853,613,684,677,5877,4863,3597,3193,.164246,.397393,.622907,.446235,.354383,.0599277,.124613,.109903,2.11707,4.02233,2.05896,2.25335,.0389733280108703
"TWVBY1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3763,2551,4598,7491,6850,7830,5600,2508,1191,0,0,0,2.91705,1.2033,3.60345,9.48228,3.01762,9.0625,1.51229,1.9,.392292," "," "," "," "
"NTCJ1F-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2264,5102,2690,3189,6059,10909,7794,228,0,0,0,0,.240289,1.27042,.777457,.516605,.478065,1.12895,.595325,.0102962," "," "," "," "," "
"K4LDHS-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",689382,673505,557457,646393,555019,587526,597589,627825,579259,571141,626007,677052,4.56188,2.37893,3.55383,2.62272,2.6973,2.77784,3.50607,2.96911,4.61142,4.11414,2.85346,7.10719,3.75765593330232
"GJJ8F9-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2907,3462,70000,6867,21695,560,17657,7388,6910,0,0,0,.0256376,.0757713,2.22947,.217356,1.05769,.0241011,.322075,.150028,.110255," "," ",0,0
"M50Y07-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1000,5000,5800,2300,1000,600,0,0,0,1000,0,0,.00582599,.0389509,.0533371,.0153497,.00765818,.00582478," "," ",0,.00702028," ",0,0
"JZSX9F-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,1300,3575,0,0,4000,2048,1578,8868,889,1009,2872,0,.145203,.438206," ",0,.886096,.359533,.282386,1.97818,.157163,.148613,.409382," "
"LXDS77-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4795314,4692515,4900804,4887796,5169743,3362516,3040291,3022459,2952319,2881855,2843942,2677359,11.2514,8.38419,6.43606,6.58384,2.18767,7.20798,6.9612,5.95447,8.16993,7.09238,6.30411,5.43119,8.03844657092182
"LTT932-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3200,1700,5700,7200,1700,3700,2200,2200,1700,2800,8200,1800,.31721,.0849992,.301766,.39344,.115533,.199849,.18031,.162113,.0877931,.14654,.491784,.0637551,0
"FT2MNF-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100,0,5000,0,0,0,600,21600,4000,4000,7000,6100,.000666889,0,.117962," "," ",0,.0260102,.57835,.0584754,.07319,.181284,.245817,0
"NDLVXL-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1589784,1517389,1369418,1157830,1107087,1118969,1108420,1013091,1170526,1033215,1075108,965522,10.6207,10.7891,5.6383,5.73657,5.44205,5.51654,4.96086,4.0249,4.00068,6.04389,5.16827,5.13893,4.57809696344541
"GDDCG7-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1186851,1227371,1162500,1160000,1131486,1122000,1148500,1106229,1092870,1083320,1240796,1112800,9.21614,9.18324,8.78991,6.4252,5.77069,5.97722,9.20104,8.42547,6.60942,2.94776,2.91206,3.50996,0
"GQGQ5C-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3183521,3035895,3258249,3851414,3402242,4175410,4305266,4515447,3356903,3975203,4330073,5313272,3.99419,3.63898,3.92902,5.08917,2.95651,4.90509,5.17915,4.32436,3.07698,3.74341,3.11506,3.94528,2.26377580622508
"QLJSDZ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7645633,7263076,7189325,6322096,5963974,5597071,5484503,5445306,5750426,5819953,6186391,6759281,29.047,22.3279,12.1408,20.8063,11.4365,15.5307,11.7511,16.996,13.8672,13.5668,6.56086,8.16279,23.9188720262028
"X48JLS-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",159585,866,146356,0,0,0,0,0,0,0,0,0,.843976,.00348048,.595026," "," "," "," "," "," "," "," "," ",0
"SZJL5M-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11894140,11045793,10728416,11394551,11048962,11896216,12816734,12048672,10335287,10667827,11343984,10683659,5.87261,4.58526,3.80439,5.99815,3.4244,4.5892,5.49814,3.3976,3.50105,3.45012,3.8381,3.28952,2.75186513596714
"HF6VY1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",8914,7271,12976,5600,816,3606,2747,2996,3450,4673,1390,4364,.875381,.884227,1.02748,.532269,.139511,.323815,.206309,.249127,.193418,.214151,.100915,.287181,.268814123808898
